Median Household Income,Poverty Rate %,Education Level %,Total Population,% White,% Black,% Asian,% Hispanic/Latino,Foreign Born Immigrant %,Median Age,Neighborhood Turnover %,state,county,tract
104052.0,0.022954091816367265,0.4610574189880614,2004.0,0.8398203592814372,0.013972055888223553,0.0783433133732535,0.17265469061876249,0.1317365269461078,30.9,0.005813953488372093,42,101,000101
91944.0,0.05886627906976744,0.4507815800591466,2752.0,0.9124273255813954,0.029796511627906978,0.027616279069767442,0.04869186046511628,0.08539244186046512,33.5,0.0,42,101,000102
91067.0,0.18782187215995153,0.38393515106853354,3414.0,0.3113649677797305,0.06590509666080843,0.5530169888693615,0.05008787346221441,0.4030462800234329,44.3,0.00205761316872428,42,101,000200
86782.0,0.09517998779743746,0.33309908643710473,3566.0,0.6362871564778463,0.061132922041503085,0.17246214245653393,0.07487380818844644,0.19966348850252383,36.4,0.012972363226170333,42,101,000300
67188.0,0.21050568404547237,0.41853315766359245,2573.0,0.6198989506412748,0.14574426739214924,0.18460940536338905,0.03381267003497863,0.3221919937815779,34.6,0.011027963765261915,42,101,000401
165890.0,0.06839378238341969,0.4002123142250531,965.0,0.8663212435233161,0.027979274611398965,0.06528497409326425,0.08082901554404145,0.24352331606217617,45.1,0.0,42,101,000403
90504.0,0.058497536945812806,0.3858499836226662,3260.0,0.8147239263803681,0.034662576687116566,0.13067484662576687,0.013496932515337423,0.12699386503067484,50.4,0.015950920245398775,42,101,000404
51801.0,0.25876940770557794,0.19555901830931047,2977.0,0.4316425932146456,0.3238159220691972,0.14276116896204233,0.12092710782667114,0.18609338259993283,35.2,0.006382264024185421,42,101,000500
90119.0,0.10647181628392484,0.4027885360185902,1465.0,0.715358361774744,0.10443686006825939,0.16382252559726962,0.07098976109215017,0.10102389078498293,29.7,0.0,42,101,000600
87776.0,0.2064825930372149,0.34377174669450244,1682.0,0.7984542211652794,0.01248513674197384,0.17300832342449465,0.06718192627824018,0.25802615933412604,31.7,0.0,42,101,000701
54121.0,0.07381934892251261,0.3736157920077034,2181.0,0.5071068317285649,0.0504355800091701,0.3131591013296653,0.07977991746905089,0.35304906006419073,30.0,0.020174232003668042,42,101,000702
126905.0,0.054136253041362534,0.39570063694267515,1670.0,0.7449101796407186,0.017365269461077845,0.10179640718562874,0.033532934131736525,0.08562874251497006,31.5,0.0,42,101,000801
82121.0,0.08161865569272976,0.41429144921718186,2916.0,0.8268175582990398,0.0360082304526749,0.09122085048010974,0.05589849108367627,0.1183127572016461,38.9,0.004801097393689987,42,101,000803
80772.0,0.049368088467614535,0.37904676258992803,2532.0,0.7176145339652449,0.0169826224328594,0.18285939968404424,0.03712480252764613,0.18404423380726698,34.1,0.0,42,101,000805
166885.0,0.10282891782667265,0.4094449853943525,2227.0,0.8244274809160306,0.017512348450830714,0.12348450830713965,0.04804669959586888,0.0916030534351145,35.0,0.01122586439155815,42,101,000806
49276.0,0.24939700916546068,0.407158836689038,2073.0,0.7004341534008683,0.1316931982633864,0.12638687891944042,0.046792088760250844,0.2252773757838881,31.6,0.03183791606367583,42,101,000901
67014.0,0.12882096069868995,0.43077601410934746,2795.0,0.7091234347048301,0.044722719141323794,0.1853309481216458,0.04329159212880143,0.23470483005366727,36.2,0.0,42,101,000902
118102.0,0.07369170523317907,0.4229848363926576,2809.0,0.9152723389106444,0.00177999288002848,0.034531861872552506,0.048415806336774656,0.06585973656105376,57.2,0.0,42,101,001001
169531.0,0.03466016788518819,0.39612733836560554,3693.0,0.8683996750609261,0.008394259409694016,0.0901705930138099,0.017600866504197128,0.17627944760357434,45.5,0.0,42,101,001002
48370.0,0.2125678820791311,0.3383152173913043,4217.0,0.6348114773535689,0.14417832582404552,0.07825468342423524,0.059046715674650224,0.08797723500118568,29.6,0.0,42,101,001101
106871.0,0.08013198208814518,0.33499067743940336,4243.0,0.8003770916804148,0.04218713174640584,0.05750648126325713,0.06929059627621965,0.1390525571529578,34.3,0.006468615237182559,42,101,001201
94449.0,0.0743002544529262,0.48194945848375453,1973.0,0.9163710086163204,0.019766852508869743,0.04054738976178408,0.13076533198175366,0.06487582361885454,32.4,0.0,42,101,001203
82115.0,0.13229859571322986,0.44170771756978655,2958.0,0.8174442190669371,0.041244083840432724,0.08045977011494253,0.056795131845841784,0.1460446247464503,37.2,0.004783054321831227,42,101,001204
109458.0,0.020331622581918674,0.2784490025288002,5086.0,0.7211954384585135,0.1995674400314589,0.047778214707038934,0.04758159653952025,0.06626032245379473,31.5,0.0032766741757116525,42,101,001302
103239.0,0.10342368045649072,0.3030116779348494,4227.0,0.6747101963567542,0.18973267092500593,0.052046368582919326,0.026732907499408563,0.09604920747575113,35.0,0.0,42,101,001400
93203.0,0.0554164057608015,0.342970297029703,3231.0,0.5936242649334571,0.24914887031878674,0.1070875889817394,0.043949241720829466,0.08170844939647168,33.6,0.0,42,101,001500
147782.0,0.06853980417198809,0.4385781495033978,2349.0,0.8710089399744572,0.0519369944657301,0.04810557684120902,0.036185610898254575,0.05151128139633887,33.4,0.0,42,101,001600
129300.0,0.03961703532518983,0.2964801444043321,3029.0,0.7467811158798283,0.039286893364146584,0.02872235061076263,0.05282271376691978,0.06074612083195774,34.9,0.00835282325425994,42,101,001700
99125.0,0.04455895725977569,0.30122869599682917,3299.0,0.7587147620491058,0.14852985753258563,0.04940891179145195,0.013640497120339497,0.06426189754471053,34.9,0.0024752475247524753,42,101,001800
